District,City,Store_ID,Store_Type,Product_Name,Category,Brand,Units_Sold,Revenue,Profit,Price,Stock_Level,Reorder_Level,Supplier,Delivery_Time_Days,Order_Date
Tiruchirappalli,Tiruchirappalli,TN-TIR-859,Convenience,Shampoo 340ml,Personal Care,Clinic Plus,119,21973.35,1549.1,184.65,758,278,Metro Cash & Carry,2,14-05-2025
Coimbatore,Coimbatore,TN-COI-195,Hypermarket,Shampoo 340ml,Personal Care,Clinic Plus,263,192089.94,31166.4,730.38,733,216,Local Distributor,9,09-05-2025
Vellore,Katpadi,TN-VEL-703,Convenience,Rice 5kg,Staples,Aachi,86,72566.8,8566.52,843.8,159,105,P&G,2,09-07-2023
Cuddalore,Cuddalore,TN-CUD-467,Convenience,Soft Drink 2L,Beverages,Coca-Cola,140,136137.4,26675.63,972.41,549,81,Reliance Retail,2,23-08-2024
Virudhunagar,Sivakasi,TN-VIR-691,Hypermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,28,22408.12,4585.01,800.29,81,268,HUL,2,17-02-2025
Thoothukudi,Thoothukudi,TN-THO-750,Convenience,Tea 500g,Beverages,Tata Tea,194,85208.68,15681.38,439.22,718,289,Local Distributor,2,17-12-2023
Pudukkottai,Pudukkottai,TN-PUD-267,Wholesale,Milk 1L,Dairy,Aavin,143,169832.52,30230.18,1187.64,570,106,Local Distributor,6,25-04-2023
Vellore,Vellore,TN-VEL-924,Convenience,Milk 1L,Dairy,Aavin,142,13930.2,3240.54,98.1,580,274,Local Distributor,6,11-03-2024
Karur,Karur,TN-KAR-758,Wholesale,Sugar 1kg,Staples,Madhur,140,25866.4,5147.36,184.76,551,117,Local Distributor,10,27-05-2025
Sivaganga,Karaikudi,TN-SIV-470,Hypermarket,Sugar 1kg,Staples,Madhur,265,159622.75,32109.14,602.35,881,78,HUL,3,14-05-2025
Virudhunagar,Virudhunagar,TN-VIR-494,Wholesale,Soft Drink 2L,Beverages,Coca-Cola,244,157221.4,38395.93,644.35,881,291,ITC,2,30-06-2024
Dindigul,Dindigul,TN-DIN-400,Wholesale,Tea 500g,Beverages,Tata Tea,237,5647.71,1098.02,23.83,736,117,Metro Cash & Carry,3,05-11-2025
Tiruchirappalli,Srirangam,TN-TIR-961,Mall Outlet,Soft Drink 2L,Beverages,Coca-Cola,106,21237.1,4300.56,200.35,552,294,Metro Cash & Carry,1,25-10-2024
Karur,Karur,TN-KAR-214,Convenience,Toothpaste 150g,Personal Care,Colgate,127,11220.45,2531.36,88.35,969,70,ITC,8,22-05-2023
Pudukkottai,Pudukkottai,TN-PUD-231,Wholesale,Garbage Bags,Home Care,Supreme,89,29616.53,6648.51,332.77,433,296,HUL,9,16-02-2024
Thanjavur,Kumbakonam,TN-THA-787,Convenience,Paneer 200g,Dairy,Milky Mist,269,148689.75,14806.69,552.75,65,136,ITC,10,16-04-2024
Sivaganga,Sivaganga,TN-SIV-107,Supermarket,Wheat Flour 1kg,Staples,Annapurna,122,12142.66,683.42,99.53,338,68,Metro Cash & Carry,4,24-07-2024
Karur,Karur,TN-KAR-652,Hypermarket,Mineral Water 1L,Beverages,Bisleri,300,173325,35865.08,577.75,826,154,HUL,2,18-07-2023
Kanchipuram,Chengalpattu,TN-KAN-533,Wholesale,Paneer 200g,Dairy,Milky Mist,32,26066.24,6434.01,814.57,100,65,Reliance Retail,6,12-08-2023
Vellore,Vellore,TN-VEL-294,Mall Outlet,Paneer 200g,Dairy,Milky Mist,76,39354.32,4160.11,517.82,255,273,ITC,8,20-07-2023
Coimbatore,Pollachi,TN-COI-653,Supermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,126,27247.5,4008.88,216.25,218,271,Reliance Retail,1,04-12-2023
Cuddalore,Cuddalore,TN-CUD-499,Convenience,Paneer 200g,Dairy,Milky Mist,151,78391.65,18928.72,519.15,802,192,Local Distributor,8,14-11-2023
Erode,Gobichettipalayam,TN-ERO-322,Supermarket,Mineral Water 1L,Beverages,Bisleri,282,25924.26,2922.21,91.93,51,199,Reliance Retail,9,23-12-2025
Tirunelveli,Tirunelveli,TN-TIR-620,Supermarket,Tea 500g,Beverages,Tata Tea,40,28885.6,5345.06,722.14,240,153,ITC,10,19-05-2024
Sivaganga,Sivaganga,TN-SIV-734,Supermarket,Curd 500g,Dairy,Aavin,294,187242.72,44365.52,636.88,209,221,Local Distributor,6,03-05-2024
Thoothukudi,Thoothukudi,TN-THO-234,Convenience,Paneer 200g,Dairy,Milky Mist,166,185295.84,43942.33,1116.24,9,167,Metro Cash & Carry,10,24-07-2023
Madurai,Madurai,TN-MAD-618,Convenience,Sugar 1kg,Staples,Madhur,183,193873.86,43787.2,1059.42,378,122,HUL,8,11-09-2024
Virudhunagar,Virudhunagar,TN-VIR-783,Mall Outlet,Toothpaste 150g,Personal Care,Colgate,58,65420.52,5028.1,1127.94,118,277,ITC,9,15-11-2023
Thoothukudi,Thoothukudi,TN-THO-719,Hypermarket,Biscuits Family Pack,Snacks,Britannia,109,90606.25,19986.16,831.25,517,175,P&G,1,09-07-2023
Kanchipuram,Chengalpattu,TN-KAN-145,Supermarket,Biscuits Family Pack,Snacks,Britannia,71,54797.09,5610.73,771.79,759,163,Metro Cash & Carry,7,20-01-2023
